Muestreo;Fecha;Zona;;X;Y;Esp_vert;Condicion;Conteo_col;Fam_col;Esp_col;Rol
1;7/03/2021;Playa;;-5.583916667;-80.8698;Otaria flavescens;Descomposición activa;3;Histeridae;Hypocaccus gaudens;Necrófilo
1;7/03/2021;Playa;;-5.583916667;-80.8698;Otaria flavescens;Descomposición activa;6;Dermestidae;Dermestes maculatus;Necrófago
1;7/03/2021;Playa;;-5.58395;-80.8698;Pelecanus thagus;Fase intermedia;4;Histeridae;Hypocaccus gaudens;Necrófilo
1;7/03/2021;Playa;;-5.583916667;-80.86985;Pelecanus thagus;Seco o restos;9;Dermestidae;Dermestes frischii;Necrófago
1;7/03/2021;Playa;;-5.583916667;-80.86985;Pelecanus thagus;Seco o restos;3;Tenebrionidae;Phaleria pacifica;Necrófilo
1;7/03/2021;Playa;;-5.583916667;-80.86985;Pelecanus thagus;Seco o restos;1;Histeridae;Hypocaccus gaudens;Necrófilo
1;7/03/2021;Playa;;-5.583916667;-80.8698;Chelonia mydas;Seco o restos;1;Dermestidae;Dermestes frischii;Necrófago
1;7/03/2021;Playa;;-5.583916667;-80.8698;Chelonia mydas;Seco o restos;24;Histeridae;Hypocaccus gaudens;Necrófilo
1;7/03/2021;Playa;;-5.583916667;-80.8698;Chelonia mydas;Seco o restos;1;Tenebrionidae;Phaleria pacifica;Necrófilo
1;7/03/2021;Playa;;-5.574016667;-80.87266667;Otaria flavescens;Seco o restos;12;Tenebrionidae;Phaleria pacifica;Necrófilo
1;7/03/2021;Playa;;-5.574016667;-80.87266667;Otaria flavescens;Seco o restos;1;Histeridae;Hypocaccus gaudens;Necrófilo
1;7/03/2021;Playa;;-5.572366667;-80.87335;Phalacrocorax brasilianus;Seco o restos;5;Histeridae;Hypocaccus gaudens;Necrófilo
1;7/03/2021;Playa;;-5.572366667;-80.87335;Phalacrocorax brasilianus;Seco o restos;4;Dermestidae;Dermestes frischii;Necrófago
1;7/03/2021;Playa;;-5.572366667;-80.87335;Phalacrocorax brasilianus;Seco o restos;1;Tenebrionidae;Phaleria pacifica;Necrófilo
1;7/03/2021;Playa;;-5.57245;-80.87321667;Phalacrocorax brasilianus;Seco o restos;7;Histeridae;Hypocaccus gaudens;Necrófilo
1;7/03/2021;Playa;;-5.57245;-80.87321667;Phalacrocorax brasilianus;Seco o restos;1;Dermestidae;Dermestes frischii;Necrófago
1;7/03/2021;Playa;;-5.574016667;-80.87266667;Pelecanus thagus;Seco o restos;25;Histeridae;Hypocaccus gaudens;Necrófilo
1;7/03/2021;Playa;;-5.574016667;-80.87266667;Pelecanus thagus;Seco o restos;1;Tenebrionidae;Phaleria pacifica;Necrófilo
1;7/03/2021;Playa;;-5.577783333;-80.87081667;Pelecanus thagus;Seco o restos;2;Tenebrionidae;Phaleria pacifica;Necrófilo
1;7/03/2021;Playa;;-5.580766667;-80.87076667;Sula variegata;Seco o restos;9;Tenebrionidae;Phaleria pacifica;Necrófilo
1;7/03/2021;Playa;;-5.580766667;-80.87076667;Sula variegata;Seco o restos;1;Histeridae;Hypocaccus gaudens;Necrófilo
1;7/03/2021;Playa;;-5.581466667;-80.8705;Chroicocephalus sp.;Descomposición activa;1;Tenebrionidae;Phaleria pacifica;Necrófilo
1;7/03/2021;Playa;;-5.5832;-80.87003333;Pelecanus thagus;Seco o restos;0;;Ausencia;
1;7/03/2021;Playa;;-5.584;-80.86981667;Pelecanus thagus;Seco o restos;1;Estaphylinidae;Paederus ornaticornis;Polífago
1;7/03/2021;Playa;;-5.584766667;-80.86961667;Pelecanus thagus;Seco o restos;1;Tenebrionidae;Phaleria pacifica;Necrófilo
2;14/03/2021;Manglar;;-5.58085;-80.8624;Pelecanus thagus;Descomposición avanzada;2;Tenebrionidae;Phaleria pacifica;Necrófilo
2;14/03/2021;Manglar;;-5.580666667;-80.86221667;Ucides occidentales;Descomposición activa;1;Tenebrionidae;Phaleria pacifica;Necrófilo
2;14/03/2021;Manglar;;-5.578533333;-80.86198333;Pelecanus thagus;Seco o restos;5;Cleridae;Necrobia rufipes;Omnívoro
2;14/03/2021;Manglar;;-5.577266667;-80.86281667;Pelecanus thagus;Seco o restos;2;Histeridae;Hypocaccus gaudens;Necrófilo
2;14/03/2021;Manglar;;-5.577883333;-80.8637;Pelecanus thagus;Seco o restos;6;Tenebrionidae;Phaleria pacifica;Necrófilo
2;14/03/2021;Manglar;;-5.57685;-80.87033333;Sula variegata;Seco o restos;2;Histeridae;Hypocaccus gaudens;Necrófilo
2;14/03/2021;Manglar;;-5.577783333;-80.87081667;Pelecanus thagus;Seco o restos;4;Tenebrionidae;Phaleria pacifica;Necrófilo
2;14/03/2021;Manglar;;-5.580766667;-80.87076667;Sula variegata;Descomposición avanzada;8;Tenebrionidae;Phaleria pacifica;Necrófilo
2;14/03/2021;Playa;;-5.580766667;-80.87076667;Delphinus sp.;Descomposición avanzada;9;Dermestidae;Dermestes maculatus;Necrófago
2;14/03/2021;Playa;;-5.583866667;-80.86985;Pelecanus thagus;Descomposición avanzada;5;Dermestidae;Dermestes frischii;Necrófago
2;14/03/2021;Playa;;-5.58395;-80.8698;Sula variegata;Descomposición avanzada;3;Dermestidae;Dermestes maculatus;Necrófago
2;14/03/2021;Playa;;-5.583916667;-80.8698;Chelonia mydas;Descomposición avanzada;6;Dermestidae;Dermestes frischii;Necrófago
2;14/03/2021;Playa;;-5.584766667;-80.86961667;Pelecanus thagus;Descomposición avanzada;7;Dermestidae;Dermestes maculatus;Necrófago
2;14/03/2021;Playa;;-5.584933333;-80.86948333;Pelecanus thagus;Descomposición avanzada;3;Dermestidae;Dermestes frischii;Necrófago
2;14/03/2021;Playa;;-5.58725;-80.86916667;Delphinus sp.;Descomposición activa;5;Dermestidae;Dermestes maculatus;Necrófago
2;14/03/2021;Playa;;-5.574016667;-80.87266667;Otaria flavescens;Descomposición avanzada;4;Dermestidae;Dermestes frischii;Necrófago
3;27/03/2021;Playa;;-5.574016667;-80.87266667;Otaria flavescens;Descomposición avanzada;6;Dermestidae;Dermestes maculatus;Necrófago
3;27/03/2021;Playa;;-5.574016667;-80.87266667;Otaria flavescens;Descomposición avanzada;2;Histeridae;Hypocaccus gaudens;Necrófilo
3;27/03/2021;Playa;;-5.574016667;-80.87266667;Otaria flavescens;Descomposición avanzada;4;Tenebrionidae;Phaleria pacifica;Necrófilo
