Zona;Especie de vertebrado;Condición;Familia;Y;X;Dermestes ater;Dermestes frischii;Dermestes maculatus;Necrobia rufipes;Psammetichus sp.;Aleochara sp.;Paraneda p. guticollis;Phaleria psammatea;Hypocaccus gaudens
Beach;Otaria flavescens;Active decay;Histeridae;-5.583916667;-80.8698;0;24;12;0;0;0;0;2;64
Beach;Otaria flavescens;Dry remains;Tenebrionidae;-5.574016667;-80.87266667;0;24;36;0;0;0;0;102;168
Beach;Phalacrocorax brasilianus;Dry remains;Histeridae;-5.584;-80.86981667;0;0;0;0;0;2;0;108;4
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.58475;-80.8695;0;0;0;0;0;0;0;14;0
Beach;Sula variegata;Dry remains;Tenebrionidae;-5.586016667;-80.8695;0;12;0;0;0;0;0;24;27
Beach;Sula variegata;Dry remains;Histeridae;-5.586016667;-80.8695;0;12;0;0;0;0;0;24;27
Beach;Sula variegata;Dry remains;Dermestidae;-5.586016667;-80.8695;0;12;0;0;0;0;0;24;27
Beach;Phalacrocorax brasilianus;Dry remains;Dermestidae;-5.590783333;-80.86716667;0;21;0;0;0;0;0;33;15
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.590783333;-80.86716667;0;21;0;0;0;0;0;33;15
Beach;Phalacrocorax brasilianus;Dry remains;Histeridae;-5.590783333;-80.86716667;0;21;0;0;0;0;0;33;15
Beach;Phalacrocorax brasilianus;Dry remains;Histeridae;-5.583933333;-80.86983333;0;0;0;0;0;0;0;36;8
Beach;Otaria flavescens;Dry remains;Histeridae;-5.574016667;-80.87266667;0;24;36;0;0;0;0;102;168
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.583933333;-80.86983333;0;0;0;0;0;0;0;36;8
Beach;Phalacrocorax brasilianus;Dry remains;Carabidae;-5.58705;-80.86913333;0;0;0;0;3;0;0;15;9
Beach;Phalacrocorax brasilianus;Dry remains;Tenebrionidae;-5.58705;-80.86913333;0;0;0;0;3;0;0;15;9
Beach;Phalacrocorax brasilianus;Dry remains;Histeridae;-5.58705;-80.86913333;0;0;0;0;3;0;0;15;9
Beach;Phalacrocorax brasilianus;Dry remains;Histeridae;-5.587466667;-80.86898333;0;0;0;0;0;0;0;0;3
Beach;Sula variegata;Dry remains;Tenebrionidae;-5.5907;-80.86718333;0;0;0;0;2;0;0;4;0
Beach;Sula variegata;Dry remains;Carabidae;-5.5907;-80.86718333;0;0;0;0;2;0;0;4;0
Beach;Phalacrocorax brasilianus;Dry remains;Histeridae;-5.572366667;-80.87335;0;12;0;0;0;0;0;9;21
